result
(t1*(((((0.430 * 0.089) * 0.205) * 0.205) + ((I1 * I1) * (2.0 - I1))) + (-0.15 - 1.0))) + (t2*((0.097 * I1) + (-1.0 - ((I1 - 0.089) - (I1 * 1.0))))) + (t3*(((((-1.0 - 0.430) - (0.089 - 1.0)) * (2.0 * I1)) * (2.0 + I2)) * (I2 * I2))) + (t4*(((2.0 + 0.430) - 0.205) - ((I2 - (I2 - (0.205 * 0.097))) * 0.430)))
(t1*((-0.15 * (I1 * ((2.0 - 1.0) + 1.0))) + (0.430 * 2.0))) + (t2*((0.089 - (1.0 - (I2 + (I1 - -1.0)))) + ((-0.15 - (I2 + (0.097 + I1))) - I1))) + (t3*((((I1 + (I1 * 2.0)) + (I2 - -0.15)) + ((1.0 + (-0.15 * 0.089)) - (2.0 + 0.430))) * ((I2 * 0.089) + (I2 - ((0.205 - 2.0) + (0.430 - 0.430)))))) + (t4*((0.097 * -1.0) - (I1 - ((1.0 - I2) * (I1 + 0.089)))))
(t1*(((0.205 - ((-1.0 * 0.205) + I1)) * I1) - ((-0.15 - 0.205) - 1.0))) + (t2*((I1 * 0.089) - ((I1 - (0.097 - 0.097)) * I1))) + (t3*((I1 - I2) - ((2.0 * (0.205 + 0.097)) - -1.0))) + (t4*(((I1 + ((-1.0 - -0.15) + 1.0)) * (2.0 * (0.097 - (1.0 + 2.0)))) - ((((0.205 - -1.0) + 0.089) + (I1 - 1.0)) + (0.097 + I1))))
(t1*(((1.0 * 0.089) * (-1.0 * (I2 - (-0.15 - 0.430)))) * ((0.430 * ((0.430 - I2) * (0.205 - 0.097))) - 1.0))) + (t2*(((I1 - ((0.089 + 1.0) - I1)) + 0.089) + ((0.430 - (0.089 + (0.097 + I2))) - (((I1 * I1) * I1) * 0.097)))) + (t3*((2.0 + (0.089 * I1)) + ((((2.0 - 0.089) * 0.097) + 2.0) * -1.0))) + (t4*((I2 - 1.0) * (0.205 - (0.430 - 0.430))))
(t1*((I2 * I1) - (0.430 - 0.430))) + (t2*((I1 - (2.0 * (1.0 * I1))) * ((((2.0 + I2) - 0.205) - -1.0) * I2))) + (t3*((1.0 * (((I1 + I1) * (I2 - 1.0)) * I2)) - (0.205 + -1.0))) + (t4*((((I2 + I2) + -0.15) - I1) - (I1 + (0.430 * 0.097))))
(t1*(((2.0 * (I1 - I2)) - I2) * ((I1 - 2.0) + ((0.097 + (0.430 * 2.0)) - 0.430)))) + (t2*((((I2 - (2.0 * I2)) - (0.097 * 2.0)) * -0.15) * ((((0.205 + 0.097) + 1.0) * I2) * 0.097))) + (t3*((I2 * 1.0) * ((I1 - ((0.205 * 1.0) - 0.097)) - (-0.15 * ((0.089 * I1) - (I1 + -1.0)))))) + (t4*((-0.15 * I2) * (-1.0 - I2)))
(t1*((0.089 * ((-0.15 * (2.0 - I2)) + (I1 - 0.430))) - (I2 + ((I1 * I2) * I2)))) + (t2*((((-0.15 + (-1.0 + 0.097)) - I2) + -0.15) - (-1.0 - I1))) + (t3*((2.0 + ((I1 * (I1 - 2.0)) - (0.089 * I2))) + (((0.205 + -0.15) * I2) * (1.0 - I2)))) + (t4*((2.0 - -0.15) + ((I1 * ((0.097 + I2) - (-0.15 * 2.0))) + ((I2 - (0.097 * -1.0)) - (-1.0 * -0.15)))))
(t1*((1.0 + 0.430) - ((((-0.15 + 2.0) - I1) + 2.0) - I1))) + (t2*(((I2 - ((I2 - 0.089) + (I2 * 0.205))) + (((0.089 + 1.0) + (0.089 + 2.0)) + -1.0)) * (2.0 - (I1 + ((1.0 + 1.0) + I1))))) + (t3*(((I1 - (I2 - 0.089)) * I2) * ((I2 - ((0.097 * 0.205) + (0.430 * 0.430))) + (((0.089 + 2.0) + (0.089 - 0.097)) - I1)))) + (t4*((((I2 - 2.0) * (-1.0 * 0.097)) + I2) * (I2 * (((I2 - 2.0) + (1.0 + I1)) - I1))))
(t1*(((I2 + (1.0 * (2.0 * -0.15))) * (((2.0 - -0.15) - (0.205 * 0.089)) - (-1.0 + 0.205))) * (0.205 - ((1.0 * 1.0) + I2)))) + (t2*((((0.097 * (0.089 * 0.205)) + (0.089 + 0.430)) + I1) * ((((-0.15 + 0.097) + (I2 + -0.15)) * 0.089) * 1.0))) + (t3*((-1.0 + ((2.0 - 0.097) - (0.205 + 0.089))) * (I2 + I2))) + (t4*(((0.430 - I1) - 1.0) * (((I1 * (-1.0 * 0.205)) * 2.0) - 2.0)))
(t1*(((I2 * ((2.0 + -1.0) + I1)) * 2.0) * ((0.430 + (I2 + (0.089 - 0.097))) * -0.15))) + (t2*((I2 * (I2 - (0.205 * (0.097 - 0.089)))) * ((((I2 - 0.430) + 0.089) + 0.430) * 2.0))) + (t3*((0.097 + 2.0) + (I1 - I1))) + (t4*((0.097 + (I2 + 0.089)) - (I2 + (((I2 - -0.15) + I1) - 2.0))))
